feature,correlation,correlation_raw,p_value,direction,p_adj
o__OFGB73902,0.09461953230301075,0.09461953230301075,0.2592897131805857,positive,0.9918149131098983
o__OFGB79245,0.09126404715227382,-0.09126404715227382,0.27664109750549654,negative,0.9918149131098983
o__OFGB2801,0.090705547139398,-0.090705547139398,0.27960341854778,negative,0.9918149131098983
o__OFGB1201,0.09024967824079577,0.09024967824079577,0.28203713509306666,positive,0.9918149131098983
o__OFGB3047,0.0889144026824284,0.0889144026824284,0.28924727582275833,positive,0.9918149131098983
o__OFGB38642,0.0885370566454973,0.0885370566454973,0.2913069148166475,positive,0.9918149131098983
o__OFGB4405,0.08394024127633665,0.08394024127633665,0.317179573284364,positive,0.9918149131098983
o__Hyphomicrobiales,0.08330448934113124,0.08330448934113124,0.320871713469108,positive,0.9918149131098983
o__OFGB1374,0.08288031039808094,-0.08288031039808094,0.32335053003004566,negative,0.9918149131098983
o__OFGB3172,0.08250903354066921,0.08250903354066921,0.32553030465892774,positive,0.9918149131098983
o__Neisseriales,0.08215028098540744,0.08215028098540744,0.3276455097789867,positive,0.9918149131098983
o__OFGB1380,0.08099495200541446,0.08099495200541446,0.334517152166503,positive,0.9918149131098983
o__OFGB2906,0.08033816408059707,0.08033816408059707,0.33846425672549835,positive,0.9918149131098983
o__OFGB629,0.07997925614162017,-0.07997925614162017,0.3406336372162456,negative,0.9918149131098983
o__OFGB72924,0.07990901750673331,0.07990901750673331,0.34105921590653737,positive,0.9918149131098983
o__OFGB1780,0.0793405807294356,0.0793405807294356,0.34451578237218994,positive,0.9918149131098983
o__Aeromonadales,0.07886551285477861,-0.07886551285477861,0.3474214910121458,negative,0.9918149131098983
o__OFGB16911,0.07648586427400304,0.07648586427400304,0.3622075371825298,positive,0.9918149131098983
o__OFGB1538,0.07599702444528249,0.07599702444528249,0.36529256516522535,positive,0.9918149131098983
o__Acidaminococcales,0.07595295276565081,-0.07595295276565081,0.3655714933779556,negative,0.9918149131098983
o__OFGB2942,0.07514149058350907,-0.07514149058350907,0.370730696249857,negative,0.9918149131098983
o__OFGB1670,0.07482387151429869,0.07482387151429869,0.37276220806315424,positive,0.9918149131098983
o__OFGB15212,0.07247040730763966,0.07247040730763966,0.38802679382756955,positive,0.9918149131098983
o__OFGB1765,0.07183226914073826,-0.07183226914073826,0.39222980658765705,negative,0.9918149131098983
o__OFGB2937,0.07001182747752681,-0.07001182747752681,0.40436913933344953,negative,0.9918149131098983
o__Candidatus_Gastranaerophilales,0.06849619262783925,0.06849619262783925,0.4146435415269157,positive,0.9918149131098983
o__Corynebacteriales,0.0684717209772547,0.0684717209772547,0.41481067638074987,positive,0.9918149131098983
o__Moraxellales,0.067790021090693,-0.067790021090693,0.4194823217203649,negative,0.9918149131098983
o__OFGB3004,0.0676485688742421,-0.0676485688742421,0.42045550460301073,negative,0.9918149131098983
o__OFGB3054,0.0675544465664439,0.0675544465664439,0.4211037867592068,positive,0.9918149131098983
o__OFGB2930,0.06697086030419844,0.06697086030419844,0.42513626357064915,positive,0.9918149131098983
o__OFGB3048,0.06619192505557928,-0.06619192505557928,0.43055318310565893,negative,0.9918149131098983
o__OFGB529,0.06615219059559259,0.06615219059559259,0.4308305650798575,positive,0.9918149131098983
o__OFGB3023,0.06457597758249853,0.06457597758249853,0.44191639463239263,positive,0.9918149131098983
o__OFGB4355,0.06334733435279351,0.06334733435279351,0.45066858812180444,positive,0.9918149131098983
o__OFGB2915,0.06331823334080582,0.06331823334080582,0.45087705852145354,positive,0.9918149131098983
o__OFGB77241,0.0631954272872754,-0.0631954272872754,0.4517573967098786,negative,0.9918149131098983
