feature,correlation,correlation_raw,p_value,direction,p_adj
g__GGB9224,0.12519874821640478,-0.12519874821640478,0.08950155160127185,negative,0.2791155661184968
g__Puniceicoccaceae_unclassified,0.1251987480071188,-0.1251987480071188,0.08950155214122857,negative,0.2791155661184968
g__GGB52930,0.12519874793049937,-0.12519874793049937,0.08950155233890628,negative,0.2791155661184968
g__GGB6529,0.1251987478375341,-0.1251987478375341,0.08950155257875606,negative,0.2791155661184968
g__GGB6038,0.12519874782676585,-0.12519874782676585,0.08950155260653823,negative,0.2791155661184968
g__GGB6132,0.1251987477605219,-0.1251987477605219,0.08950155277744766,negative,0.2791155661184968
g__GGB6521,0.1251987476415993,-0.1251987476415993,0.08950155308426753,negative,0.2791155661184968
g__GGB6611,0.12519874762851407,-0.12519874762851407,0.08950155311802635,negative,0.2791155661184968
g__GGB3637,0.1251987476135144,-0.1251987476135144,0.08950155315672616,negative,0.2791155661184968
g__GGB532,0.12519874760080182,-0.12519874760080182,0.08950155318952417,negative,0.2791155661184968
g__GGB9774,0.12512224055598278,-0.12512224055598278,0.08969911489210668,negative,0.2791155661184968
g__GGB9102,0.12507756771535983,-0.12507756771535983,0.08981463306995013,negative,0.2791155661184968
g__Yanshouia,0.12507756625790475,-0.12507756625790475,0.08981463684067642,negative,0.2791155661184968
g__Methanomassiliicoccaceae_unclassified,0.1250775650807293,-0.1250775650807293,0.08981463988626336,negative,0.2791155661184968
g__GGB9109,0.1250775642005309,-0.1250775642005309,0.08981464216351266,negative,0.2791155661184968
g__GGB3325,0.12507756419106084,-0.12507756419106084,0.08981464218801337,negative,0.2791155661184968
g__GGB9264,0.12507756417123758,-0.12507756417123758,0.08981464223930027,negative,0.2791155661184968
g__GGB4702,0.12507756411637305,-0.12507756411637305,0.089814642381246,negative,0.2791155661184968
g__GGB31460,0.12507756411190352,-0.12507756411190352,0.08981464239280938,negative,0.2791155661184968
g__GGB3004,0.1250674705272737,-0.1250674705272737,0.08984075954046641,negative,0.2791155661184968
g__GGB9262,0.12498454971430774,-0.12498454971430774,0.09005554670586464,negative,0.2791155661184968
g__GGB6566,0.12498454964109966,-0.12498454964109966,0.09005554689567391,negative,0.2791155661184968
g__GGB4598,0.1249845495747704,-0.1249845495747704,0.09005554706764887,negative,0.2791155661184968
g__GGB3254,0.12498454950256103,-0.12498454950256103,0.09005554725486885,negative,0.2791155661184968
g__GGB1102,0.1249845494736289,-0.1249845494736289,0.09005554732988219,negative,0.2791155661184968
g__GGB9211,0.12498454946909786,-0.12498454946909786,0.09005554734162992,negative,0.2791155661184968
g__GGB4548,0.12498454945171082,-0.12498454945171082,0.09005554738671004,negative,0.2791155661184968
g__GGB4269,0.12498454944141402,-0.12498454944141402,0.09005554741340656,negative,0.2791155661184968
g__GGB35551,0.12495690514620347,-0.12495690514620347,0.09012724459417552,negative,0.2791155661184968
g__GGB9582,0.12495689953775037,-0.12495689953775037,0.09012725914466521,negative,0.2791155661184968
