feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
s__Streptococcus_thermophilus,2,1.5270541082164328,0.0,0.845691382765531,0.0,0.6813627254509018,0,1,0,1
s__GGB9707_SGB15229,2,1.523046092184369,0.0,0.9078156312625251,0.0,0.6152304609218437,0,1,0,1
s__GGB51269_SGB5062,2,1.5090180360721444,0.0,0.9418837675350702,0.0,0.5671342685370742,0,1,0,1
s__GGB9342_SGB14306,2,1.5090180360721441,0.0,0.7314629258517034,0.0,0.7775551102204409,0,1,0,1
s__GGB9636_SGB15107,2,1.508033015182908,0.0,0.7114228456913827,0.7966101694915254,0.0,0,1,1,0
s__Bilophila_wadsworthia,2,1.503006012024048,0.0,0.8697394789579158,0.0,0.6332665330661322,0,1,0,1
s__Parabacteroides_distasonis,2,1.4949899799599198,0.0,0.6312625250501003,0.0,0.8637274549098196,0,1,0,1
s__Butyrivibrio_crossotus,2,1.4889779559118237,0.0,0.5751503006012024,0.0,0.9138276553106213,0,1,0,1
s__Bacteroides_xylanisolvens,2,1.4869739478957915,0.0,0.49098196392785576,0.0,0.9959919839679359,0,1,0,1
s__Ruminococcus_torques,2,1.4729458917835672,0.0,0.49699398797595196,0.0,0.9759519038076152,0,1,0,1
s__Eubacteriales_unclassified_SGB15145,2,1.4669338677354709,0.0,0.5931863727454909,0.0,0.87374749498998,0,1,0,1
s__Turicibacter_sanguinis,2,1.464929859719439,0.0,0.7434869739478958,0.0,0.7214428857715431,0,1,0,1
s__Bifidobacterium_longum,2,1.464929859719439,0.0,0.8577154308617234,0.0,0.6072144288577155,0,1,0,1
s__GGB9762_SGB15377,2,1.4629258517034067,0.0,0.5531062124248497,0.0,0.9098196392785571,0,1,0,1
s__GGB34797_SGB14322,2,1.4629258517034067,0.0,0.6112224448897796,0.0,0.8517034068136272,0,1,0,1
s__Streptococcus_salivarius,2,1.4629258517034067,0.0,0.7975951903807615,0.0,0.6653306613226453,0,1,0,1
s__Monoglobus_pectinilyticus,2,1.4609218436873748,0.0,0.5591182364729459,0.0,0.9018036072144289,0,1,0,1
s__Roseburia_hominis,2,1.4569138276553106,0.0,0.5450901803607214,0.0,0.9118236472945892,0,1,0,1
s__GGB9345_SGB14311,2,1.4529058116232465,0.0,0.5050100200400802,0.0,0.9478957915831663,0,1,0,1
s__Pseudoflavonifractor_capillosus,2,1.4448897795591182,0.0,0.6412825651302605,0.0,0.8036072144288577,0,1,0,1
s__Clostridium_sp_AM33_3,2,1.4428857715430863,0.0,0.4889779559118237,0.0,0.9539078156312625,0,1,0,1
s__Blautia_glucerasea,2,1.43687374749499,0.0,0.5110220440881763,0.0,0.9258517034068137,0,1,0,1
s__Eubacterium_sp_AF34_35BH,2,1.4328657314629258,0.0,0.5791583166332666,0.0,0.8537074148296593,0,1,0,1
s__Eubacterium_ventriosum,2,1.4188376753507015,0.0,0.8797595190380761,0.0,0.5390781563126252,0,1,0,1
s__Anaerostipes_hadrus,2,1.4168336673346693,0.0,0.717434869739479,0.0,0.6993987975951903,0,1,0,1
s__Butyricimonas_virosa,2,1.4108216432865732,0.0,0.6152304609218437,0.0,0.7955911823647295,0,1,0,1
s__Hydrogenoanaerobacterium_saccharovorans,2,1.408817635270541,0.0,0.8717434869739479,0.0,0.5370741482965932,0,1,0,1
s__GGB3746_SGB5089,2,1.4068136272545089,0.0,0.875751503006012,0.0,0.531062124248497,0,1,0,1
