feature,correlation,correlation_raw,p_value,direction,p_adj
o__Nakamurellales,0.0996971700488494,-0.0996971700488494,0.17695070340979452,negative,0.45798764002823233
o__Rhodospirillales,0.09969716973824877,-0.09969716973824877,0.1769507047654854,negative,0.45798764002823233
o__Xanthomonadales,0.09969716970302535,-0.09969716970302535,0.1769507049192267,negative,0.45798764002823233
o__OFGB77566,0.0996129284670802,-0.0996129284670802,0.17731867821876726,negative,0.45798764002823233
o__Methanotrichales,0.09958513892190425,-0.09958513892190425,0.17744018935354328,negative,0.45798764002823233
o__OFGB9718,0.09958310490186094,-0.09958310490186094,0.17744908561979483,negative,0.45798764002823233
o__OFGB1380,0.09875825539709022,0.09875825539709022,0.18108397289661987,positive,0.4614983187275412
o__OFGB79245,0.0984003847273203,-0.0984003847273203,0.18267795158037176,negative,0.4614983187275412
o__OFGB2949,0.09812352787217911,0.09812352787217911,0.18391814916079133,positive,0.4614983187275412
o__OFGB1474,0.09771509424592253,-0.09771509424592253,0.18575902706945502,negative,0.46184125078736066
o__Aeromonadales,0.09688410569557328,-0.09688410569557328,0.18954607169604962,negative,0.4669725948148131
o__OFGB72939,0.09596544297900504,-0.09596544297900504,0.19379799894019473,negative,0.47314646588101594
o__OFGB3023,0.09425591138785319,0.09425591138785319,0.20189446023278157,positive,0.4885124885989625
o__OFGB4605,0.09330585330978822,0.09330585330978822,0.206498354339902,positive,0.49523056660277376
o__OFGB11257,0.08972572426550356,-0.08972572426550356,0.22452574670904343,negative,0.5337410294574628
o__Bacillales,0.0880728989149667,-0.0880728989149667,0.23321433039654674,negative,0.5485279217048068
o__Moraxellales,0.08741421122309694,-0.08741421122309694,0.2367419801337084,negative,0.5485279217048068
o__Pseudomonadales,0.08740003186390424,-0.08740003186390424,0.23681832782089446,negative,0.5485279217048068
o__OFGB58291,0.08680759621812126,-0.08680759621812126,0.24002369075434885,negative,0.5496734491826102
o__OFGB2930,0.08656050011380623,0.08656050011380623,0.2413695219657956,positive,0.5496734491826102
o__Coriobacteriales,0.08604195608994458,0.08604195608994458,0.24421092577001066,positive,0.5515096740306075
o__OFGB78645,0.08553789431438556,-0.08553789431438556,0.24699522053685347,negative,0.5517711075739569
o__Bacteria_unclassified,0.08528528951419359,0.08528528951419359,0.24839880119565588,positive,0.5517711075739569
o__OFGB2982,0.08412136023024817,0.08412136023024817,0.2549375356137606,positive,0.5616916435067408
o__Erysipelotrichales,0.0827381423870369,-0.0827381423870369,0.26286134409640927,negative,0.5692816170400028
o__OFGB9115,0.08254599686173093,-0.08254599686173093,0.2639752516753341,negative,0.5692816170400028
o__OFGB4559,0.08219465925325804,-0.08219465925325804,0.26602036826121306,negative,0.5692816170400028
o__OFGB12107,0.08206375521775981,-0.08206375521775981,0.26678511204457694,negative,0.5692816170400028
o__OFGB1211,0.08116052415517531,0.08116052415517531,0.27210267234613794,positive,0.576092376607839
o__Clostridia_unclassified,0.07984799500985316,-0.07984799500985316,0.27995735732650584,negative,0.5838184132948879
o__OFGB2915,0.079561290242419,0.079561290242419,0.2816932439611237,positive,0.5838184132948879
o__Candidatus_Borkfalkiales,0.07947537992294154,-0.07947537992294154,0.28221480495066537,negative,0.5838184132948879
o__Candidatus_Saccharimonadales,0.07744936046121936,-0.07744936046121936,0.2947030880005344,negative,0.6050343700617032
o__OFGB1355,0.07667342957188238,-0.07667342957188238,0.2995817036462093,negative,0.6070557225084007
o__Micrococcales,0.07645544336360656,-0.07645544336360656,0.30096183659683584,negative,0.6070557225084007
o__Puniceicoccales,0.07612261447643512,-0.07612261447643512,0.30307716215232644,negative,0.6070557225084007
o__OFGB2952,0.0758764632660752,0.0758764632660752,0.30464789026251843,positive,0.6070557225084007
o__Bifidobacteriales,0.07549514432851054,-0.07549514432851054,0.3070917071685142,negative,0.6074587784136303
o__OFGB529,0.07405143494639228,0.07405143494639228,0.31646057364278424,positive,0.6214551844724241
o__OFGB79270,0.07320907458435971,-0.07320907458435971,0.3220120577549093,negative,0.6266154105799985
o__OFGB1670,0.07263265328293822,-0.07263265328293822,0.32584700465731814,negative,0.6266154105799985
o__OFGB45628,0.0726060070240973,-0.0726060070240973,0.32602499222058956,negative,0.6266154105799985
o__OFGB2898,0.07207147887673011,0.07207147887673011,0.329608686836675,positive,0.6290419305122459
o__OFGB2839,0.07012048728573089,-0.07012048728573089,0.3429027281688196,negative,0.6481243357876716
o__OFGB9119,0.06972721397447257,0.06972721397447257,0.34562308762591143,positive,0.6481243357876716
o__OFGB2957,0.06956021184138136,-0.06956021184138136,0.34678239368713054,negative,0.6481243357876716
o__Lactobacillales,0.06905657057743994,-0.06905657057743994,0.3502934474103074,negative,0.6502022208780363
o__Veillonellales,0.06758387037394259,-0.06758387037394259,0.36068786682556075,negative,0.6558754709947625
o__OFGB10309,0.06727506377151923,0.06727506377151923,0.36289154479928604,positive,0.6558754709947625
o__OFGB3062,0.06679864854593257,0.06679864854593257,0.3663076518962848,positive,0.6558754709947625
o__OFGB31455,0.06630705997892439,0.06630705997892439,0.36985333789191455,positive,0.6558754709947625
o__OFGB73062,0.06627697094538115,-0.06627697094538115,0.37007104612237707,negative,0.6558754709947625
o__OFGB1201,0.06594518391973088,0.06594518391973088,0.3724769133946292,positive,0.6558754709947625
o__OFGB32970,0.06594063693944412,0.06594063693944412,0.3725099512659191,positive,0.6558754709947625
o__Desulfovibrionales,0.06581706686789925,0.06581706686789925,0.373408487536956,positive,0.6558754709947625
o__OFGB1347,0.06558059019835741,0.06558059019835741,0.37513172695272395,positive,0.6558754709947625
o__Saccharomycetales,0.06308767870880491,-0.06308767870880491,0.39359306755318163,negative,0.6837418032494373
o__OFGB3012,0.06150635555263241,-0.06150635555263241,0.4055814182834988,negative,0.6865645590173548
o__OFGB2918,0.06126307302898757,0.06126307302898757,0.40744480934667787,positive,0.6865645590173548
o__OFGB5194,0.06119860447606925,-0.06119860447606925,0.407939445022919,negative,0.6865645590173548
o__OFGB3004,0.06106901577578148,-0.06106901577578148,0.4089347886412007,negative,0.6865645590173548
o__OFGB15212,0.06087135567240223,0.06087135567240223,0.41045573216829345,positive,0.6865645590173548
o__OFGB1011,0.060643446331985165,0.060643446331985165,0.41221356673171794,positive,0.6865645590173548
o__OFGB77988,0.06054786159681998,0.06054786159681998,0.4129521148333167,positive,0.6865645590173548
o__OFGB79237,0.05646207619232863,-0.05646207619232863,0.44524197736928656,negative,0.7293523619554847
o__OFGB1298,0.056344145690397314,-0.056344145690397314,0.44619469014997826,negative,0.7293523619554847
o__OFGB30328,0.05620762194282583,0.05620762194282583,0.44729904662812237,positive,0.7293523619554847
o__OFGB2945,0.05592986339266397,-0.05592986339266397,0.44955061931957957,negative,0.7293523619554847
o__OFGB16911,0.05547106929648935,0.05547106929648935,0.4532836283826773,positive,0.7293523619554847
o__Acidaminococcales,0.05509269348907706,-0.05509269348907706,0.45637532015708304,negative,0.7293523619554847
o__OFGB2875,0.05495207322333665,0.05495207322333665,0.4575273119277949,positive,0.7293523619554847
o__OFGB73902,0.05431162337755824,0.05431162337755824,0.46279444389126334,positive,0.7334344695586688
o__OFGB4405,0.05383920510261907,0.05383920510261907,0.4667010578819044,positive,0.7353255039883495
o__OFGB10055,0.052937541313274335,-0.052937541313274335,0.474207389650586,negative,0.7428335410133456
o__OFGB2984,0.05154146852416853,0.05154146852416853,0.4859583177039124,positive,0.7504617010160124
o__OFGB1374,0.05142795093195005,-0.05142795093195005,0.4869206297504457,negative,0.7504617010160124
o__OFGB2378,0.051373248133457984,-0.051373248133457984,0.4873847209550486,negative,0.7504617010160124
o__OFGB78291,0.04960544583253607,-0.04960544583253607,0.5025092084473549,negative,0.7673549370139113
o__OFGB3069,0.04886691033961394,0.04886691033961394,0.5088998879302792,positive,0.7673549370139113
o__OFGB629,0.04875420542384916,-0.04875420542384916,0.5098788449630566,negative,0.7673549370139113
o__OFGB79291,0.048676552311581175,-0.048676552311581175,0.5105539095929454,negative,0.7673549370139113
o__OFGB1012,0.04830872524582529,-0.04830872524582529,0.513757839061961,negative,0.7673549370139113
o__Corynebacteriales,0.04763106656277343,0.04763106656277343,0.5196875859418881,positive,0.7673549370139113
o__OFGB45555,0.04759151416209949,0.04759151416209949,0.5200347614918523,positive,0.7673549370139113
o__OFGB10314,0.04748064972048488,-0.04748064972048488,0.5210085181201465,negative,0.7673549370139113
o__Burkholderiales,0.046839101112274614,-0.046839101112274614,0.5266616651385789,negative,0.7714881689327292
o__OFGB9989,0.04459236117445142,0.04459236117445142,0.5467011706824418,positive,0.7965377271771061
o__OFGB10477,0.043985293601605406,0.043985293601605406,0.5521793813998342,positive,0.7978725752567758
o__OFGB2932,0.04383876041633774,-0.04383876041633774,0.5535056979641102,negative,0.7978725752567758
o__OFGB2345,0.043181666038016916,-0.043181666038016916,0.5594722213304035,negative,0.8022062009552346
o__OFGB1776,0.04266548432088056,0.04266548432088056,0.5641808364965144,positive,0.8047000352134495
o__OFGB3172,0.04196425715384191,0.04196425715384191,0.5706075920895082,positive,0.8080269913272913
o__OFGB9120,0.04113293665158138,-0.04113293665158138,0.5782711645369993,negative,0.8080269913272913
o__Candidatus_Nanosynbacterales,0.0410626845097615,-0.0410626845097615,0.5789209809794461,negative,0.8080269913272913
o__OFGB3043,0.04105683817626765,-0.04105683817626765,0.5789750735718336,negative,0.8080269913272913
o__OFGB2936,0.04028659871276345,0.04028659871276345,0.5861221301548979,positive,0.8080269913272913
o__OFGB79294,0.040265372448673405,0.040265372448673405,0.5863196621688211,positive,0.8080269913272913
o__OFGB2997,0.040150957722554094,0.040150957722554094,0.5873849346548944,positive,0.8080269913272913
o__Sphingomonadales,0.038654726684176854,-0.038654726684176854,0.6013968025012421,negative,0.8192147913841826
o__OFGB3625,0.03844832203027896,-0.03844832203027896,0.6033414208075981,negative,0.8192147913841826
o__Candidatus_Gastranaerophilales,0.038316316773379135,0.038316316773379135,0.6045865619071459,positive,0.8192147913841826
o__Methanobacteriales,0.0378029551666147,0.0378029551666147,0.60943968194646,positive,0.82119457379409
o__OFGB2906,0.03752145636055278,0.03752145636055278,0.6121081324959637,positive,0.82119457379409
o__OFGB28775,0.03590326091430679,-0.03590326091430679,0.6275460134667206,negative,0.8318713473925837
o__OFGB1779,0.03580452011723725,0.03580452011723725,0.6284933657619852,positive,0.8318713473925837
o__Candidatus_Brocadiales,0.03558308202547422,-0.03558308202547422,0.6306201227862339,negative,0.8318713473925837
o__OFGB3070,0.03540371873506787,-0.03540371873506787,0.6323450094570932,negative,0.8318713473925837
o__OFGB2992,0.03483198201959285,0.03483198201959285,0.6378564596875385,positive,0.8350681187213668
o__OFGB77220,0.033146366317191346,-0.033146366317191346,0.6542205230287816,negative,0.8504995188747743
o__Victivallales,0.032922834845040584,0.032922834845040584,0.656403232631102,positive,0.8504995188747743
o__Propionibacteriales,0.03265129260310618,0.03265129260310618,0.6590586677627402,positive,0.8504995188747743
o__Enterobacterales,0.03215978628700422,0.03215978628700422,0.6638759886365483,positive,0.8511554622368285
o__OFGB2983,0.031479267783235704,-0.031479267783235704,0.6705686152598525,negative,0.8511554622368285
