feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
K23747,3,2.4571714571714574,0.6613756613756614,0.960960960960961,0.0,0.8348348348348349,1,1,0,1
K15519,3,2.4569162802378353,0.0,0.7987987987987988,0.9363957597173145,0.7217217217217218,0,1,1,1
K00974,3,2.444206110872778,0.7425044091710759,0.944944944944945,0.0,0.7567567567567568,1,1,0,1
K02469,3,2.4402021068687736,0.5943562610229277,0.9029029029029029,0.0,0.9429429429429429,1,1,0,1
K02503,3,2.4199437532770864,0.6701940035273368,0.8208208208208209,0.0,0.928928928928929,1,1,0,1
K04651,3,2.4065655761768836,0.0,0.7387387387387387,0.901060070671378,0.7667667667667668,0,1,1,1
K01925,3,2.402450069116736,0.6737213403880071,0.9459459459459459,0.0,0.7827827827827828,1,1,0,1
K06287,3,2.401878068544735,0.7372134038800706,0.7277277277277276,0.0,0.9369369369369369,1,1,0,1
K19108,3,2.373421040087707,0.9329805996472663,0.7367367367367368,0.0,0.7037037037037037,1,1,0,1
K16031,3,2.371085371085371,0.47619047619047616,0.970970970970971,0.0,0.9239239239239239,1,1,0,1
K09458,3,2.3674627007960343,0.6807760141093475,0.924924924924925,0.0,0.7617617617617618,1,1,0,1
K00937,3,2.3630773630773634,0.9206349206349207,0.9369369369369369,0.0,0.5055055055055055,1,1,0,1
K01914,3,2.3544496877830214,0.9400352733686067,0.8758758758758759,0.0,0.5385385385385386,1,1,0,1
K01262,3,2.334906334906335,0.6402116402116402,0.7997997997997998,0.0,0.8948948948948949,1,1,0,1
K01126,3,2.332808999475666,0.7742504409171076,0.9329329329329329,0.0,0.6256256256256256,1,1,0,1
K01588,3,2.3289956623289956,0.9506172839506173,0.8708708708708709,0.0,0.5075075075075075,1,1,0,1
K16411,3,2.3230373230373234,0.4391534391534392,0.9009009009009009,0.0,0.982982982982983,1,1,0,1
K04518,3,2.3189856523189856,0.7283950617283951,0.962962962962963,0.0,0.6276276276276276,1,1,0,1
K16401,3,2.3142666475999807,0.6225749559082893,0.8988988988988988,0.0,0.7927927927927928,1,1,0,1
K16899,3,2.3142189808856477,0.7266313932980599,0.9059059059059059,0.0,0.6816816816816818,1,1,0,1
K02108,3,2.308546641879975,0.9611992945326279,0.8508508508508509,0.0,0.4964964964964965,1,1,0,1
K00648,3,2.303732303732304,0.8412698412698413,0.8088088088088088,0.0,0.6536536536536537,1,1,0,1
K11753,3,2.2992992992992995,0.9259259259259259,0.4674674674674675,0.0,0.9059059059059059,1,1,0,1
K00950,3,2.2951999618666283,0.8747795414462081,0.9279279279279279,0.0,0.4924924924924925,1,1,0,1
K23862,3,2.2888126221459553,0.5590828924162258,0.7767767767767768,0.0,0.9529529529529529,1,1,0,1
K03286,3,2.281221150479101,0.0,0.6486486486486487,0.9929328621908127,0.6396396396396397,0,1,1,1
K03426,3,2.278516611849945,0.8500881834215168,0.49549549549549554,0.0,0.9329329329329329,1,1,0,1
K13560,3,2.273320939987607,0.30335097001763667,0.987987987987988,0.0,0.9819819819819819,1,1,0,1
K01738,3,2.272748939415606,0.9223985890652557,0.4974974974974975,0.0,0.8528528528528528,1,1,0,1
K03698,3,2.2706516039849376,0.3527336860670194,0.9209209209209209,0.0,0.996996996996997,1,1,0,1
K07488,3,2.268137395345876,0.0,0.7107107107107107,0.9257950530035336,0.6316316316316316,0,1,1,1
K24558,3,2.2567805901139235,0.6331569664902998,0.8098098098098099,0.0,0.8138138138138138,1,1,0,1
K01443,3,2.2557795891129224,0.4850088183421517,0.8528528528528528,0.0,0.9179179179179179,1,1,0,1
K20849,3,2.2266552266552266,0.6931216931216931,0.9579579579579579,0.0,0.5755755755755756,1,1,0,1
K11754,3,2.2263692263692265,0.6137566137566137,0.7617617617617618,0.0,0.8508508508508509,1,1,0,1
K01861,3,2.220172553505887,0.6966490299823633,0.6916916916916918,0.0,0.8318318318318318,1,1,0,1
K07391,3,2.2191238857905526,0.43033509700176364,0.8348348348348349,0.0,0.953953953953954,1,1,0,1
K00942,3,2.2141665474998806,0.4744268077601411,0.967967967967968,0.0,0.7717717717717718,1,1,0,1
K03734,3,2.212164545497879,0.9929453262786596,0.2232232232232232,0.0,0.995995995995996,1,1,0,1
K03615,3,2.2115448782115448,0.9012345679012346,0.8968968968968969,0.0,0.4134134134134134,1,1,0,1
K03654,3,2.2056342056342055,0.47089947089947093,0.9569569569569569,0.0,0.7777777777777778,1,1,0,1
K24557,3,2.204585537918871,0.5008818342151675,0.8238238238238238,0.0,0.8798798798798799,1,1,0,1
K14060,3,2.2009854377345546,0.0,0.8108108108108107,0.44522968197879864,0.944944944944945,0,1,1,1
K07271,3,2.1963979796724202,0.652557319223986,0.8618618618618619,0.6819787985865724,0.0,1,1,1,0
K01507,3,2.1949639358355495,0.6313932980599648,0.8568568568568569,0.7067137809187279,0.0,1,1,1,0
K00700,3,2.190857524190857,0.8395061728395061,0.5575575575575575,0.0,0.7937937937937938,1,1,0,1
K03310,3,2.188703595064019,0.9735449735449735,0.0,0.3462897526501767,0.8688688688688688,1,0,1,1
