feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
K00800,0.011026421616064845,1485.0,0.4823813959123596,0.4823813959123596,0.0984113963420139,5.364898885055716,5.266487488713702,up,0.030982359882746304
K00806,0.00028092629500860747,1633.0,0.43077367480439627,0.43077367480439627,0.14911964539010025,5.0678955839469975,4.918775938556897,up,0.003212331112489729
K00817,0.0008014063630398325,1595.0,0.5784625793290205,0.5784625793290205,0.2037126744688269,5.232610754068818,5.028898079599991,up,0.005790381139546043
K00820,0.19727662403917245,1315.0,0.3035768613887976,0.3035768613887976,0.042421125134453064,5.742046867326617,5.699625742192164,up,0.2882430673461242
K00821,0.0009643205101045924,1588.0,0.5665063195357546,0.5665063195357546,0.23279945557189752,5.201944603136009,4.969145147564111,up,0.006469803422385404
K00826,0.0004054643979999189,1620.0,0.7664095563370636,0.7664095563370636,0.11516876821059352,5.455934706763818,5.340765938553225,up,0.004101428333614565
K00831,0.8308093797364009,1110.0,0.029032726468927787,-0.029032726468927787,-0.002905036683102047,5.6360015775365255,5.638906614219628,down,0.872615283029846
K00847,0.007162036385610692,1505.0,0.551739556185745,0.551739556185745,0.21473043578917217,5.164285859563073,4.949555423773901,up,0.022317720016772652
K00850,0.0005060003917408402,1612.0,0.6721175645684829,0.6721175645684829,0.2182475291621282,5.038418901984572,4.820171372822444,up,0.004526466089382346
K00852,0.0001313880724692558,1659.0,0.6257783450876553,0.6257783450876553,0.38241553947740714,4.30360629973279,3.921190760255383,up,0.0026996143015167403
K00854,0.005056320815242631,1520.5,0.4568821119967654,0.4568821119967654,0.28746584315243773,4.520103522167423,4.232637679014985,up,0.018068102913163204
K00857,0.4567924900453638,1038.0,0.18953350526402957,-0.18953350526402957,-0.06204967470212441,4.624213332936368,4.686263007638493,down,0.5490695835554419
K00858,0.014441890574405215,1472.0,0.5323378700661403,0.5323378700661403,0.05926987385431026,5.43260957363281,5.3733396997785,up,0.03783084881542402
K00859,0.003697504000681026,1534.0,0.4504913477346709,0.4504913477346709,0.08051492249463443,5.371409050495443,5.290894128000809,up,0.014300640473222204
K00864,0.004455992492299766,1526.0,0.46843323027562145,0.46843323027562145,0.212206268613631,4.989475905454331,4.7772696368407,up,0.0162767503538172
K00865,0.0008451346696014137,1593.0,0.6302068743799925,0.6302068743799925,0.14917587319729542,5.171030130105257,5.021854256907962,up,0.005943059307624915
K00868,0.09886783377544613,1364.0,0.351126523960709,0.351126523960709,0.15559246886908618,4.521163146061533,4.365570677192447,up,0.16625473326689472
K00873,0.7682166094654258,1180.0,0.11979819413867387,0.11979819413867387,0.014889312393646215,5.873802929447595,5.858913617053949,up,0.8219730198918104
K00874,0.01839015270007226,1460.0,0.4506371534009711,0.4506371534009711,0.16949236378876975,5.091456423863754,4.921964060074984,up,0.04445413750109379
K00876,0.8480864929960742,1113.0,0.08407802802547318,-0.08407802802547318,-0.02134049421639972,4.637788002928154,4.659128497144554,down,0.8844042333781423
K00878,0.020296073387287956,1455.0,0.5472046979283122,0.5472046979283122,0.20759386233943555,4.912289817699568,4.704695955360132,up,0.047744788021974356
K00882,0.0021769339394543345,1556.0,0.45045519731329875,0.45045519731329875,0.26820267713744883,4.574856876437057,4.306654199299608,up,0.010115435089690636
K00891,0.0001064426580593614,1666.0,0.7583814804218544,0.7583814804218544,0.19235356821772243,5.792860191489289,5.600506623271567,up,0.0026085816800690124
K00919,0.0002364670819657711,1639.0,0.7175272375439655,0.7175272375439655,0.15605537979388107,5.408931120508249,5.252875740714368,up,0.0029614686931903715
K00925,0.9061600630456974,1123.0,0.030773591889033662,0.030773591889033662,0.005034484324431432,5.671673528334684,5.666639044010252,up,0.9273155508989043
