feature,coefficient,abs_coefficient
K02124,0.034957158432764514,0.034957158432764514
K14060,-0.03491083671584272,0.03491083671584272
K07317,0.03463935991521104,0.03463935991521104
K07165,0.033986613089026584,0.033986613089026584
K01956,0.0339106210604578,0.0339106210604578
K00558,0.033134553105682904,0.033134553105682904
K02171,-0.032864633865983754,0.032864633865983754
K02396,-0.03244538460608043,0.03244538460608043
K17609,-0.03204582204566711,0.03204582204566711
K03607,0.03192116929740257,0.03192116929740257
K08384,0.03157155332279383,0.03157155332279383
K02838,-0.03151164332055266,0.03151164332055266
K02072,0.031509248467130914,0.031509248467130914
K04077,-0.031502419795790014,0.031502419795790014
K21571,0.03145521282870199,0.03145521282870199
K07030,0.03141343719362475,0.03141343719362475
K01270,-0.03116458183405323,0.03116458183405323
K03378,-0.03113206878314202,0.03113206878314202
K03547,0.030845774373651522,0.030845774373651522
K01868,-0.030752505287375102,0.030752505287375102
K01179,-0.029877079581224316,0.029877079581224316
K05799,-0.028777795713695695,0.028777795713695695
K00425,-0.028130080747407,0.028130080747407
K14417,0.027963277194285912,0.027963277194285912
K01818,-0.027452495252798838,0.027452495252798838
K19545,0.026939337602948824,0.026939337602948824
K08483,0.0266944420615972,0.0266944420615972
K09013,-0.026681544711993674,0.026681544711993674
K15633,-0.02667569948554725,0.02667569948554725
K03310,0.02657841160308083,0.02657841160308083
K01703,0.025656766209608994,0.025656766209608994
K03563,-0.02546401493629524,0.02546401493629524
K19092,-0.025199872854244115,0.025199872854244115
K06926,0.024890618232171983,0.024890618232171983
K02014,-0.024732630210581884,0.024732630210581884
K03154,0.024277926035655303,0.024277926035655303
K02904,-0.024256640099012343,0.024256640099012343
K00688,-0.0241573586710155,0.0241573586710155
K03169,0.023963817853663746,0.023963817853663746
K07473,-0.02389013049599963,0.02389013049599963
K23627,-0.02361844805527304,0.02361844805527304
K21573,-0.023402509541869055,0.023402509541869055
K00784,0.022815630670124563,0.022815630670124563
K07335,-0.022274896821312458,0.022274896821312458
K23876,0.02220462879680609,0.02220462879680609
K07741,-0.021760559733274613,0.021760559733274613
K07733,-0.02164395546541719,0.02164395546541719
K18954,-0.02159698585672764,0.02159698585672764
K05349,0.021384700458380628,0.021384700458380628
K02118,0.020880442317999143,0.020880442317999143
K02120,0.02074799024485078,0.02074799024485078
K01066,-0.02062046858088963,0.02062046858088963
K03744,-0.020075298387675102,0.020075298387675102
K02794,0.01822835995637124,0.01822835995637124
K19055,-0.01797433204486146,0.01797433204486146
K01534,0.017936790418139302,0.017936790418139302
K12574,-0.017796441495492126,0.017796441495492126
K02919,-0.01779546328790626,0.01779546328790626
K02119,0.017709362378227154,0.017709362378227154
K10709,0.017677958316963442,0.017677958316963442
K00048,0.01752369882378183,0.01752369882378183
K02470,0.017286722243574977,0.017286722243574977
K10119,-0.01726034055242097,0.01726034055242097
K19724,0.01698540943047941,0.01698540943047941
K26364,0.01620563963293016,0.01620563963293016
K00821,0.016010760030540038,0.016010760030540038
K07260,0.015567803228662084,0.015567803228662084
K06400,-0.015494269609240427,0.015494269609240427
K03973,-0.01517524337609286,0.01517524337609286
K04751,0.013030586447498094,0.013030586447498094
K05992,-0.012657584037484486,0.012657584037484486
K25087,-0.01215350027593079,0.01215350027593079
K01652,0.012148307009911975,0.012148307009911975
K20488,-0.01198519079562154,0.01198519079562154
K02884,-0.011106058397409914,0.011106058397409914
K02520,-0.010912210763994599,0.010912210763994599
K00876,-0.010407387786902289,0.010407387786902289
K03705,-0.010092500151834244,0.010092500151834244
K00957,0.009972206689307959,0.009972206689307959
K00243,0.009878601964937428,0.009878601964937428
K06923,0.009660994832280272,0.009660994832280272
K01953,-0.009556787181286277,0.009556787181286277
K07461,-0.009315480617484856,0.009315480617484856
K01649,0.009285020706393397,0.009285020706393397
K07098,0.00921091690491264,0.00921091690491264
K02892,-0.009082996663676067,0.009082996663676067
K02600,-0.009057357984720514,0.009057357984720514
K01586,0.009032449854701257,0.009032449854701257
K13038,0.00845956103251115,0.00845956103251115
K02967,-0.008091422309935165,0.008091422309935165
K00817,0.007995366784164402,0.007995366784164402
K23749,0.007819492933381371,0.007819492933381371
K03590,-0.0077550086927409894,0.0077550086927409894
K11749,-0.007737140709665733,0.007737140709665733
K02761,-0.007584249544317841,0.007584249544317841
K19639,-0.007467976526691595,0.007467976526691595
K04759,-0.006819811894364446,0.006819811894364446
K01972,-0.006549771916371511,0.006549771916371511
K00067,0.006382048662156059,0.006382048662156059
K02160,0.006285948436570722,0.006285948436570722
K15772,0.006037408001649755,0.006037408001649755
K03572,-0.005947149580999776,0.005947149580999776
K01991,-0.005711975649970188,0.005711975649970188
K00857,-0.005675412988971409,0.005675412988971409
K07347,-0.005628573913411426,0.005628573913411426
K03040,-0.0055574350178800806,0.0055574350178800806
K24568,0.005533707000738475,0.005533707000738475
K07076,-0.004776091610735124,0.004776091610735124
K10117,-0.004670284423791878,0.004670284423791878
K02913,-0.0044437077351012965,0.0044437077351012965
K21636,-0.004428006226398985,0.004428006226398985
K21934,0.004177422644316594,0.004177422644316594
K25026,0.0040130774780060075,0.0040130774780060075
K02122,0.0037957467129411523,0.0037957467129411523
K15391,-0.003562172528593358,0.003562172528593358
K05394,-0.00333288469868488,0.00333288469868488
K02956,-0.002937779910378389,0.002937779910378389
K16111,-0.0028787934704504587,0.0028787934704504587
K15967,-0.002860483923958407,0.002860483923958407
K07138,-0.002317342162006248,0.002317342162006248
K16113,-0.0022899393818677813,0.0022899393818677813
K08234,-0.002100848357280714,0.002100848357280714
K06871,0.0016117524612164985,0.0016117524612164985
K07667,-0.0013391025541126672,0.0013391025541126672
K17318,-0.000799373649439916,0.000799373649439916
K03630,-0.0007094947900600489,0.0007094947900600489
K08600,-0.0005006852823867628,0.0005006852823867628
K07171,0.00022246036807166094,0.00022246036807166094
