feature,mi_score
K03536,0.09703705786512673
K01770,0.09679033257244574
K18536,0.09677094983852141
K01051,0.09674149434031576
K01738,0.09670347197861906
K03544,0.09648258080015237
K11754,0.09590699687148208
K02337,0.09586595205852322
K06199,0.0958143459986327
K01934,0.09572599000389426
K05833,0.09538909537762263
K02033,0.09514690837072992
K00616,0.09487183622065776
K01012,0.09453449569489814
K24559,0.0937879219981983
K18700,0.09371570068952217
K02283,0.09321692284699412
K02005,0.09318604243927586
K16405,0.09313083569748803
K16399,0.09307566806419532
K24528,0.09255786989014747
K02313,0.09238156029288169
K23747,0.092216505440327
K03308,0.09212329884436299
K09888,0.0920666263841976
K01861,0.09178298459634737
K16029,0.09161469224055518
K03710,0.09161207514839687
K07484,0.09156792188128482
K03703,0.09147878829635969
K21744,0.09145041253269026
K07166,0.09125170056927212
K07138,0.09096824559831718
K00099,0.09088170019927166
K03553,0.09060709054966187
K09812,0.09027043102182608
K01818,0.09008550565307716
K16112,0.0900749837675554
K01662,0.08992470002352126
K02099,0.08990841240927527
K07456,0.08984627728884886
K01783,0.08927651582754348
K19854,0.08904368595316892
K24558,0.08903297022554169
K02040,0.08826825461707588
K06889,0.08821485348854874
K06969,0.08790412222169364
K02172,0.08776606158271383
K05394,0.08761549302681426
K09710,0.0873305710106489
K16450,0.08731001742262579
K01246,0.0870491901167616
K01649,0.08671117244128257
K03763,0.08643099833298362
K04068,0.0859274819638034
K03530,0.08575462241594378
K03547,0.08527827584584746
K00949,0.08526396298686523
K00609,0.08484173429572217
K01776,0.08480665652626951
K00806,0.0847932140326606
K03718,0.08452790795393517
K00548,0.08448386923802143
K00700,0.08413879033136173
K16401,0.0841294348992121
K00266,0.08378393685150831
K03972,0.08373017117274295
K20172,0.08369559926317072
K00133,0.08366094658605472
K07462,0.08364197811579954
K06153,0.08353927410684547
K01533,0.08352039830671987
K07258,0.08310073694955844
K00794,0.08280788743795897
K01925,0.08276458797999231
K03327,0.08276207098589228
K01926,0.08275452644709769
K19157,0.08268373497005643
K00859,0.08264167633424768
K03654,0.08221294635677934
K01893,0.0818992474668192
K21675,0.08182732864490005
K16097,0.0818029028392242
K01696,0.08177890442352398
K22090,0.08176686266072108
K00942,0.0816773773230739
K17686,0.08142174464556606
K01912,0.08113363576370736
K06206,0.08104596301978462
K03292,0.08020658249290435
K04651,0.08012931600938744
K03282,0.07987848177417822
K06379,0.07959243969126129
K15238,0.07956639513396668
K10112,0.07925974394810686
K09458,0.07898391598385968
K03546,0.07880520609152764
K02863,0.07872337241594374
K00784,0.0784526795671261
K23738,0.0782863672914389
K00974,0.07822513256132835
K00655,0.07802129671386804
K11070,0.07766972517058823
K00147,0.07760167979004273
K14747,0.07746262506144652
K00145,0.0774417258217972
K21903,0.07743470159602306
K03555,0.07742748522851284
K12721,0.07683845178102322
K03106,0.07680447245016908
