feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
K19724,8.341944724776754e-05,1674.0,0.7780720043043752,0.7780720043043752,0.18642423743500913,5.353541868860587,5.167117631425578,up,0.0023847081115394415
K00826,0.0004054643979999189,1620.0,0.7664095563370636,0.7664095563370636,0.11516876821059352,5.455934706763818,5.340765938553225,up,0.004101428333614565
K02040,0.0003943009887905905,1621.0,0.7637770918729305,0.7637770918729305,0.13117079474074433,6.097854023967155,5.966683229226411,up,0.004019424808214159
K06871,0.00038342528480441005,1622.0,0.759536937755774,0.759536937755774,0.186893104213536,5.861548992252093,5.674655888038557,up,0.003970112200927553
K02108,0.0001767182536347103,1649.0,0.7584933389551373,0.7584933389551373,0.22977162956654418,5.5748120202460525,5.345040390679508,up,0.0028258087845800914
K00286,8.089753384230276e-05,1675.0,0.7584287084975045,0.7584287084975045,0.2175566147818513,5.282440374725705,5.064883759943854,up,0.0023640057111695137
K00891,0.0001064426580593614,1666.0,0.7583814804218544,0.7583814804218544,0.19235356821772243,5.792860191489289,5.600506623271567,up,0.0026085816800690124
K03111,0.0001767182536347103,1649.0,0.7581029287699185,0.7581029287699185,0.11497025436944419,6.635711358986412,6.520741104616968,up,0.0028258087845800914
K01687,0.0001313880724692558,1659.0,0.7556049458284132,0.7556049458284132,0.2755461818776386,5.249774087209735,4.974227905332096,up,0.0026996143015167403
K01934,6.721583152165681e-05,1681.0,0.7546962912747306,0.7546962912747306,0.1628400602056974,5.215806213106242,5.052966152900544,up,0.002266379960281505
K01588,0.0003426649098625465,1626.0,0.7518267298287242,0.7518267298287242,0.17691115337362628,5.3450046325013245,5.168093479127698,up,0.0036634500525955173
K07027,2.3466327069035516e-05,1714.0,0.7495217102750579,0.7495217102750579,0.2239276542162667,4.8278699625489425,4.603942308332676,up,0.0020334559729452265
K13319,0.0004286824399307189,1618.0,0.7473878323106344,0.7473878323106344,0.1850150326858202,5.385142195747008,5.200127163061188,up,0.004206846332155936
K01703,7.741871780347316e-06,1747.0,0.7465959900233735,0.7465959900233735,0.27014666094024076,5.241478431373455,4.971331770433214,up,0.0014543659130223886
K07484,0.001784653121254149,1564.0,0.7459073819065737,0.7459073819065737,0.2461603781594217,6.519229317590078,6.273068939430656,up,0.008855920205468703
K05795,0.004665877120763365,1524.0,0.7454562125452978,0.7454562125452978,0.6583190560815213,4.047089332720953,3.3887702766394314,up,0.01694924976188902
K01914,6.122607770161969e-05,1684.0,0.7442213931199224,0.7442213931199224,0.18512278176285335,5.006849113570126,4.821726331807272,up,0.002266379960281505
K00067,0.0002577994328329844,1636.0,0.7421972105091905,0.7421972105091905,0.2614661126602771,5.077080287634778,4.815614174974501,up,0.003138946797920134
K00949,0.0014583252158154813,1572.0,0.7408845076521892,0.7408845076521892,0.15160243579438681,5.223105306109346,5.071502870314959,up,0.007957251696254598
K22522,6.516018909638348e-05,1682.0,0.7406010426227149,0.7406010426227149,0.20412319093241305,5.0061383693249395,4.8020151783925265,up,0.002266379960281505
K19108,0.00045313716412090523,1616.0,0.7405688723301023,0.7405688723301023,0.10358334004432201,5.391742716895497,5.2881593768511745,up,0.004317937469702829
K19824,0.0003331280274915126,1627.0,0.7403466279267314,0.7403466279267314,0.08216114298901456,5.538960939656197,5.456799796667182,up,0.0036203583153003233
K01658,1.5572303601989358e-06,1792.0,0.7381266255286819,0.7381266255286819,0.2206730825821266,4.972769687349144,4.752096604767018,up,0.0010857265442721998
K02283,0.0022866432703706825,1554.0,0.7370084663055527,0.7370084663055527,0.31776525377744846,4.735824055818185,4.418058802040736,up,0.01047712857330121
K11753,0.00018739502137005916,1647.0,0.7362250328044295,0.7362250328044295,0.14189322113454406,5.380043834222475,5.238150613087931,up,0.0028258087845800914
K00957,0.0005493617336653793,1609.0,0.7302785722236322,0.7302785722236322,0.20521208493572107,4.773083830543244,4.567871745607523,up,0.00460134190936289
K01738,1.74397793535814e-05,1723.0,0.7299144151077588,0.7299144151077588,0.24157327415859786,5.430538644740278,5.1889653705816805,up,0.0017641007576891955
K00937,0.0001767182536347103,1649.0,0.7280687313813847,0.7280687313813847,0.17135030924032524,5.6020015350747165,5.430651225834391,up,0.0028258087845800914
K03547,0.00010326738184634182,1667.0,0.7274446050440736,0.7274446050440736,0.2263232244265767,5.419271576611493,5.192948352184916,up,0.0026085816800690124
K02115,0.0002504958423661632,1637.0,0.7267285151181928,0.7267285151181928,0.25229499451784854,5.54298926253473,5.290694268016882,up,0.0030785236702009777
K02564,0.00019295801961271718,1646.0,0.7265654095994092,0.7265654095994092,0.18078022963899,5.382261164401646,5.201480934762656,up,0.0028258087845800914
K24180,0.00019295801961271718,1646.0,0.7251580511668274,0.7251580511668274,0.2617763518609939,5.602749222562206,5.340972870701212,up,0.0028258087845800914
K01733,2.947407117363367e-05,1707.0,0.7226904619846485,0.7226904619846485,0.18039082164869846,5.193418686488909,5.01302786484021,up,0.0020334559729452265
K01243,0.0006824985211466705,1601.0,0.7207980144949058,0.7207980144949058,0.1515182495717946,5.378073090178446,5.226554840606651,up,0.005217939275045765
