feature,correlation,correlation_raw,p_value,direction,p_adj
g__Massiliimalia,0.132452222490894,0.132452222490894,0.0722941488561836,positive,0.4616423428543817
g__GGB58233,0.13076901710537356,-0.13076901710537356,0.07602641127441787,negative,0.4616423428543817
g__Cuneatibacter,0.12965935661469596,-0.12965935661469596,0.07857109731381912,negative,0.4616423428543817
g__GGB9760,0.12957738853747297,0.12957738853747297,0.07876176164355343,positive,0.4616423428543817
g__Akkermansia,0.12956416591845815,0.12956416591845815,0.07879255345813989,positive,0.4616423428543817
g__GGB9501,0.12806678031440602,-0.12806678031440602,0.0823428714002883,negative,0.4616423428543817
g__Eggerthella,0.1279861665313482,-0.1279861665313482,0.08253759842407386,negative,0.4616423428543817
g__Bittarella,0.12788381705658675,-0.12788381705658675,0.08278536243252264,negative,0.4616423428543817
g__GGB3632,0.12680427464580465,-0.12680427464580465,0.0854352485016815,negative,0.4616423428543817
g__GGB9715,0.12655011246060432,0.12655011246060432,0.08606891137963049,positive,0.4616423428543817
g__Desulfovibrio,0.12269843048558927,0.12269843048558927,0.09614030290147307,positive,0.4960939114113081
g__Allisonella,0.1224953373320697,-0.1224953373320697,0.09669627086830582,negative,0.4960939114113081
g__Lactobacillus,0.11981836802888461,0.11981836802888461,0.10426532226520531,positive,0.5235450224380522
g__GGB9502,0.11892274830380735,0.11892274830380735,0.10689935403920028,positive,0.5255884906927347
g__GGB4605,0.11584920933034415,-0.11584920933034415,0.11633797880989319,negative,0.5579255235241951
g__Citrobacter,0.11526462645678033,-0.11526462645678033,0.11820456006868539,negative,0.5579255235241951
g__Rothia,0.114420131784316,-0.114420131784316,0.1209420779521623,negative,0.5596535371903981
g__Gemella,0.11151863367506988,-0.11151863367506988,0.1307236060106951,negative,0.5932840580485393
g__Wujia,0.11030096084372404,0.11030096084372404,0.13500551286289025,positive,0.6011566233140019
g__Intestinibacter,0.10919409571139259,-0.10919409571139259,0.13899029163459375,negative,0.6041632553684169
g__Anaerotruncus,0.10869919542806467,0.10869919542806467,0.14080075866636832,positive,0.6041632553684169
g__Anaerobutyricum,0.10726269181673319,0.10726269181673319,0.14615771303740654,positive,0.6070712417611472
g__GGB13493,0.1068301383283792,0.1068301383283792,0.1478007014841153,positive,0.6070712417611472
g__Clostridia_unclassified,0.10646578406947949,-0.10646578406947949,0.14919547467011246,negative,0.6070712417611472
g__GGB4578,0.10391942813246338,-0.10391942813246338,0.15922256338696722,negative,0.6311388994289028
g__Schaalia,0.1025293455719226,-0.1025293455719226,0.16490560097771856,negative,0.6311388994289028
g__Collinsella,0.10220771258046518,0.10220771258046518,0.16624184126207453,positive,0.6311388994289028
g__Holdemania,0.1017954184961385,0.1017954184961385,0.16796652710363852,positive,0.6311388994289028
g__GGB9813,0.101672806060468,0.101672806060468,0.16848199433907152,positive,0.6311388994289028
g__GGB52130,0.10056232206511917,0.10056232206511917,0.1732042444770166,positive,0.637298013879076
g__Lentihominibacter,0.10002432865928604,0.10002432865928604,0.1755269953480506,positive,0.637298013879076
g__Coprobacillus,0.09823919145116645,-0.09823919145116645,0.18339927694910838,negative,0.65033270545199
g__Parasutterella,0.09796560180481144,-0.09796560180481144,0.18462835281899717,negative,0.65033270545199
g__GGB3444,0.09723109482650176,-0.09723109482650176,0.18795794130018906,negative,0.6523246198065384
g__GGB3550,0.09587506858496152,-0.09587506858496152,0.19422000914213086,negative,0.6590166357227103
g__GGB3433,0.09517944643292783,-0.09517944643292783,0.19749067721208055,negative,0.6590166357227103
g__Candidatus_Nanosynsacchari,0.0950163067087905,-0.0950163067087905,0.19826347939115435,negative,0.6590166357227103
g__Lachnospiraceae_unclassified,0.09289778340926208,-0.09289778340926208,0.20849886129737238,negative,0.682473045714803
g__Limosilactobacillus,0.0923705857879788,0.0923705857879788,0.21110395058127385,positive,0.682473045714803
g__Phascolarctobacterium,0.08863030804838277,-0.08863030804838277,0.2302580981037971,negative,0.7279909602543916
g__Leuconostoc,0.08760831494551213,-0.08760831494551213,0.2356985780303285,negative,0.7279909602543916
g__Lactonifactor,0.0867163059009074,-0.0867163059009074,0.2405202993801758,negative,0.7279909602543916
g__GGB9365,0.0802531167494356,0.0802531167494356,0.2775168162902897,positive,0.7279909602543916
g__Enterocloster,0.08006110009219744,-0.08006110009219744,0.27867176883179284,negative,0.7279909602543916
