feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
s__Enterocloster_citroniae,2,1.717434869739479,0.0,0.8577154308617234,0.0,0.8597194388777555,0,1,0,1
s__Bacteroides_ovatus,2,1.7134268537074149,0.0,0.779559118236473,0.0,0.9338677354709419,0,1,0,1
s__Desulfovibrio_desulfuricans,2,1.7133073163871604,0.7614035087719299,0.9519038076152304,0.0,0.0,1,1,0,0
s__Oscillibacter_valericigenes,2,1.7103821678444608,0.9228070175438596,0.7875751503006012,0.0,0.0,1,1,0,0
s__Intestinibacter_bartlettii,2,1.7074148296593186,0.0,0.9098196392785571,0.0,0.7975951903807615,0,1,0,1
s__Ruthenibacterium_lactatiformans,2,1.7034068136272544,0.0,0.8557114228456913,0.0,0.8476953907815631,0,1,0,1
s__GGB3740_SGB5076,2,1.698822205815139,0.8491228070175438,0.8496993987975952,0.0,0.0,1,1,0,0
s__Parabacteroides_merdae,2,1.6873747494989981,0.0,0.8096192384769539,0.0,0.8777555110220441,0,1,0,1
s__Gordonibacter_massiliensis,2,1.6873606862848503,0.9719298245614035,0.7154308617234468,0.0,0.0,1,1,0,0
s__Erysipelatoclostridium_ramosum,2,1.6853426150546709,0.9438596491228071,0.7414829659318638,0.0,0.0,1,1,0,0
s__Ruminococcus_gnavus,2,1.6820931582791752,0.0,0.7755511022044088,0.9065420560747663,0.0,0,1,1,0
s__GGB12785_SGB19823,2,1.6793587174348699,0.0,0.7955911823647295,0.0,0.8837675350701403,0,1,0,1
s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,2,1.6693386773547094,0.0,0.7635270541082164,0.0,0.905811623246493,0,1,0,1
s__Phocaeicola_massiliensis,2,1.6673346693386775,0.0,0.7214428857715431,0.0,0.9458917835671343,0,1,0,1
s__Simiaoa_sunii,2,1.6673346693386775,0.0,0.7374749498997997,0.0,0.9298597194388778,0,1,0,1
s__Bacteroides_faecis,2,1.6593116056674753,0.9859649122807017,0.6733466933867736,0.0,0.0,1,1,0,0
s__Blautia_obeum,2,1.6472945891783568,0.0,0.8136272545090181,0.0,0.8336673346693386,0,1,0,1
s__Bacteroides_clarus,2,1.6372745490981964,0.0,0.7695390781563126,0.0,0.8677354709418837,0,1,0,1
s__Adlercreutzia_sp_JBNU_10,2,1.6356713426853708,0.8,0.8356713426853708,0.0,0.0,1,1,0,0
s__Barnesiella_intestinihominis,2,1.6340156949412843,0.0,0.7555110220440882,0.8785046728971962,0.0,0,1,1,0
s__Bilophila_wadsworthia,2,1.6112224448897796,0.0,0.8056112224448898,0.0,0.8056112224448898,0,1,0,1
s__Lentihominibacter_hominis,2,1.6072144288577155,0.0,0.6833667334669339,0.0,0.9238476953907816,0,1,0,1
s__GGB9715_SGB15265,2,1.6032064128256511,0.0,0.7034068136272544,0.0,0.8997995991983968,0,1,0,1
s__GGB12798_SGB135773,2,1.5811623246492985,0.0,0.6032064128256514,0.0,0.9779559118236473,0,1,0,1
s__GGB3490_SGB4664,2,1.5800372675174912,0.7543859649122807,0.8256513026052104,0.0,0.0,1,1,0,0
s__Mediterraneibacter_glycyrrhizinilyticus,2,1.5771543086172346,0.0,0.7855711422845691,0.0,0.7915831663326653,0,1,0,1
s__Alistipes_indistinctus,2,1.5731462925851702,0.0,0.6332665330661322,0.0,0.9398797595190381,0,1,0,1
s__Amedibacillus_dolichus,2,1.5545265970537565,0.8350877192982455,0.719438877755511,0.0,0.0,1,1,0,0
s__Bacteroides_intestinalis,2,1.5465885041110257,0.0,0.7895791583166333,0.7570093457943925,0.0,0,1,1,0
s__Rothia_mucilaginosa,2,1.5390781563126252,0.0,0.687374749498998,0.0,0.8517034068136272,0,1,0,1
s__Brotolimicola_acetigignens,2,1.5232333826531568,0.0,0.8036072144288577,0.719626168224299,0.0,0,1,1,0
s__Lawsonibacter_hominis,2,1.5111531474163278,0.0,0.7074148296593186,0.8037383177570093,0.0,0,1,1,0
s__Jutongia_huaianensis,2,1.5068312062721936,0.6350877192982456,0.8717434869739479,0.0,0.0,1,1,0,0
s__GGB9359_SGB14334,2,1.5005150487891672,0.0,0.7715430861723447,0.7289719626168225,0.0,0,1,1,0
s__Vescimonas_SGB15087,2,1.491867946419154,0.7684210526315789,0.7234468937875751,0.0,0.0,1,1,0,0
s__Neobittarella_massiliensis,2,1.4849699398797596,0.0,0.5731462925851704,0.0,0.9118236472945892,0,1,0,1
s__Bittarella_massiliensis,2,1.4788243152972613,0.7333333333333334,0.7454909819639279,0.0,0.0,1,1,0,0
s__Lachnospiraceae_bacterium_AM48_27BH,2,1.470941883767535,0.0,0.6713426853707415,0.0,0.7995991983967936,0,1,0,1
s__Mediterraneibacter_faecis,2,1.468937875751503,0.0,0.6152304609218437,0.0,0.8537074148296593,0,1,0,1
s__Phocea_massiliensis,2,1.4563332272020677,0.0,0.5871743486973948,0.8691588785046729,0.0,0,1,1,0
s__Eubacterium_limosum,2,1.4332805962802797,0.8280701754385965,0.6052104208416833,0.0,0.0,1,1,0,0
s__Flavonifractor_plautii,2,1.4248496993987976,0.0,0.498997995991984,0.0,0.9258517034068137,0,1,0,1
s__Actinomyces_naeslundii,2,1.4165945926941603,0.5228070175438597,0.8937875751503006,0.0,0.0,1,1,0,0
s__Oribacterium_sinus,2,1.3975881587736878,0.5859649122807018,0.811623246492986,0.0,0.0,1,1,0,0
s__Holdemanella_biformis,2,1.3867735470941884,0.0,0.5470941883767535,0.0,0.8396793587174349,0,1,0,1
s__Faecalibacillus_intestinalis,2,1.3807615230460923,0.0,0.5090180360721444,0.0,0.8717434869739479,0,1,0,1
s__Bifidobacterium_dentium,2,1.3587174348697393,0.0,0.41482965931863724,0.0,0.9438877755511021,0,1,0,1
s__Saccharomyces_cerevisiae,2,1.3380234152515555,0.6947368421052631,0.6432865731462926,0.0,0.0,1,1,0,0
s__Clostridium_sp_Marseille_P3244,2,1.3266533066132264,0.0,0.44488977955911824,0.0,0.8817635270541082,0,1,0,1
s__TM7_phylum_sp_oral_taxon_348,2,1.3177570093457944,0.0,0.0,0.31775700934579443,1.0,0,0,1,1
s__Lachnospiraceae_bacterium_oral_taxon_096,2,1.3118799001511796,0.512280701754386,0.7995991983967936,0.0,0.0,1,1,0,0
s__Eubacterium_ramulus,2,1.2985971943887775,0.0,0.5050100200400802,0.0,0.7935871743486974,0,1,0,1
s__Eggerthella_lenta,2,1.2882400314647988,0.0,0.7835671342685371,0.5046728971962617,0.0,0,1,1,0
s__Streptococcus_parasanguinis,2,1.2822841945573389,0.0,0.8617234468937875,0.42056074766355145,0.0,0,1,1,0
s__Bacteroides_uniformis,2,1.2588916150057123,0.0,0.8196392785571143,0.4392523364485982,0.0,0,1,1,0
s__Faecalimonas_umbilicata,2,1.2565130260521042,0.0,0.36272545090180364,0.0,0.8937875751503006,0,1,0,1
s__Veillonella_rogosae,2,1.2514573005660443,0.9087719298245613,0.342685370741483,0.0,0.0,1,1,0,0
s__GGB3109_SGB4121,2,1.2375217725169967,0.0,0.8076152304609219,0.4299065420560748,0.0,0,1,1,0
s__GGB9708_SGB15234,2,1.2373719401419663,0.0,0.5831663326653307,0.6542056074766356,0.0,0,1,1,0
s__Lawsonibacter_SGB15145,2,1.2334141968146821,0.8947368421052632,0.33867735470941884,0.0,0.0,1,1,0,0
s__Eubacterium_sp_AF34_35BH,2,1.230704399453112,0.0,0.5951903807615231,0.6355140186915889,0.0,0,1,1,0
s__GGB9762_SGB15377,2,1.224695004043174,0.49122807017543857,0.7334669338677355,0.0,0.0,1,1,0,0
s__GGB3510_SGB4687,2,1.2242379495833773,0.5789473684210527,0.6452905811623246,0.0,0.0,1,1,0,0
s__Tyzzerella_nexilis,2,1.2224448897795592,0.0,0.3346693386773547,0.0,0.8877755511022044,0,1,0,1
s__Lactobacillus_crispatus,2,1.2173880471222818,0.0,0.6472945891783567,0.5700934579439252,0.0,0,1,1,0
s__GGB9619_SGB15067,2,1.216257075554618,0.6491228070175439,0.5671342685370742,0.0,0.0,1,1,0,0
s__Blautia_stercoris,2,1.2149158129342799,0.0,0.9438877755511021,0.2710280373831776,0.0,0,1,1,0
s__Roseburia_intestinalis,2,1.1963927855711423,0.0,0.22244488977955912,0.0,0.9739478957915831,0,1,0,1
s__GGB3537_SGB4727,2,1.179214569489857,0.712280701754386,0.46693386773547096,0.0,0.0,1,1,0,0
s__GGB36331_SGB15121,2,1.1691382765531062,0.6,0.5691382765531062,0.0,0.0,1,1,0,0
s__GGB9616_SGB15052,2,1.156312625250501,0.0,0.3246492985971944,0.0,0.8316633266533067,0,1,0,1
s__Escherichia_coli,2,1.152304609218437,0.0,0.30861723446893785,0.0,0.8436873747494991,0,1,0,1
s__GGB51647_SGB4348,2,1.1503006012024048,0.0,0.1943887775551102,0.0,0.9559118236472945,0,1,0,1
s__Mesosutterella_multiformis,2,1.1426924023485567,0.8140350877192982,0.3286573146292585,0.0,0.0,1,1,0,0
s__GGB9524_SGB14924,2,1.1324705485737832,0.0,0.4408817635270541,0.691588785046729,0.0,0,1,1,0
s__Abiotrophia_defectiva,2,1.128059628027986,0.6070175438596491,0.5210420841683367,0.0,0.0,1,1,0,0
s__GGB9501_SGB14898,2,1.1161832436803432,0.9017543859649123,0.21442885771543085,0.0,0.0,1,1,0,0
s__Cloacibacillus_porcorum,2,1.1101149667756567,0.7894736842105263,0.32064128256513025,0.0,0.0,1,1,0,0
s__GGB4578_SGB6328,2,1.0906444467883136,0.9263157894736842,0.1643286573146293,0.0,0.0,1,1,0,0
s__GGB9770_SGB15389,2,1.0774672151320184,0.6245614035087719,0.4529058116232465,0.0,0.0,1,1,0,0
s__GGB3511_SGB4688,2,1.066961994163766,0.656140350877193,0.4108216432865731,0.0,0.0,1,1,0,0
s__GGB9597_SGB15022,2,1.0460921843687374,0.0,0.21042084168336672,0.0,0.8356713426853708,0,1,0,1
s__Anaerotruncus_rubiinfantis,2,1.0460921843687374,0.0,0.2605210420841684,0.0,0.7855711422845691,0,1,0,1
s__Gemmiger_formicilis,2,1.0271571179742662,0.0,0.6813627254509018,0.3457943925233645,0.0,0,1,1,0
s__Fusobacterium_nucleatum,2,1.022493585301444,0.0,0.6953907815631262,0.3271028037383178,0.0,0,1,1,0
s__Schaalia_SGB17158,2,1.0178884083957387,0.7052631578947368,0.312625250501002,0.0,0.0,1,1,0,0
s__Alloscardovia_omnicolens,2,0.990141686882537,0.32280701754385965,0.6673346693386774,0.0,0.0,1,1,0,0
s__GGB3550_SGB4746,2,0.9862250817424323,0.5052631578947369,0.4809619238476954,0.0,0.0,1,1,0,0
s__GGB1549_SGB2133,2,0.9837499560524557,0.5649122807017544,0.4188376753507014,0.0,0.0,1,1,0,0
s__GGB3730_SGB5060,2,0.9763245789825264,0.743859649122807,0.23246492985971945,0.0,0.0,1,1,0,0
s__Lachnoclostridium_SGB4602,2,0.9760503463066483,0.19649122807017538,0.0,0.0,0.779559118236473,1,0,0,1
s__Klebsiella_variicola,2,0.9759519038076152,0.0,0.09018036072144286,0.0,0.8857715430861723,0,1,0,1
s__Blautia_hansenii,2,0.9739478957915831,0.0,0.02605210420841686,0.0,0.9478957915831663,0,1,0,1
s__Collinsella_aerofaciens,2,0.9577285411945387,0.0,0.6773547094188377,0.28037383177570097,0.0,0,1,1,0
s__Bifidobacterium_angulatum,2,0.9545055022325353,0.19298245614035092,0.0,0.0,0.7615230460921844,1,0,0,1
s__Lachnospiraceae_bacterium,2,0.9524844080684733,0.0,0.8216432865731462,0.13084112149532712,0.0,0,1,1,0
s__Amedibacterium_intestinale,2,0.9501740322750764,0.5473684210526315,0.40280561122244485,0.0,0.0,1,1,0,0
s__Collinsella_provencensis,2,0.9474809267658123,0.1719298245614035,0.0,0.0,0.7755511022044088,1,0,0,1
s__Levilactobacillus_brevis,2,0.9469816826635727,0.17543859649122806,0.0,0.0,0.7715430861723447,1,0,0,1
s__Lentihominibacter_faecis,2,0.9438877755511021,0.0,0.07815631262525047,0.0,0.8657314629258517,0,1,0,1
s__GGB4672_SGB6461,2,0.9419681468199557,0.16842105263157892,0.0,0.0,0.7735470941883767,1,0,0,1
s__GGB9328_SGB14291,2,0.9324473508420349,0.16491228070175434,0.0,0.0,0.7675350701402806,1,0,0,1
s__GGB4255_SGB53440,2,0.9304503744330767,0.17894736842105263,0.0,0.0,0.751503006012024,1,0,0,1
s__Segatella_hominis,2,0.925943114298773,0.1824561403508772,0.0,0.0,0.7434869739478958,1,0,0,1
s__Diaphorobacter_SGB61891,2,0.9229406180782619,0.18947368421052635,0.0,0.0,0.7334669338677355,1,0,0,1
s__Leuconostoc_carnosum,2,0.9214358541644693,0.18596491228070178,0.0,0.0,0.7354709418837675,1,0,0,1
s__Alkaliflexus_sp_Ai_910,2,0.9214217909503217,0.1578947368421053,0.0,0.0,0.7635270541082164,1,0,0,1
s__Enterococcus_sp_MJM12,2,0.9189466652603453,0.21754385964912282,0.0,0.0,0.7014028056112225,1,0,0,1
s__Actinomyces_graevenitzii,2,0.9181028724114897,0.5333333333333333,0.38476953907815636,0.0,0.0,1,1,0,0
s__GGB45495_SGB63167,2,0.9081742432232887,0.7157894736842105,0.19238476953907813,0.0,0.0,1,1,0,0
s__Catenibacterium_mitsuokai,2,0.9018809548922406,0.15438596491228074,0.0,0.0,0.7474949899799599,1,0,0,1
s__Lachnospiraceae_unclassified_SGB4708,2,0.89236015891432,0.15087719298245617,0.0,0.0,0.7414829659318638,1,0,0,1
s__Oxalobacter_formigenes,2,0.8797595190380761,0.0,0.01002004008016033,0.0,0.8697394789579158,0,1,0,1
s__GGB3818_SGB5183,2,0.8795696656470836,0.6210526315789473,0.2585170340681363,0.0,0.0,1,1,0,0
s__Bifidobacterium_animalis,2,0.8746756671237211,0.8526315789473684,0.022044088176352727,0.0,0.0,1,1,0,0
s__GGB4596_SGB6358,2,0.8730724607108955,0.6526315789473685,0.22044088176352705,0.0,0.0,1,1,0,0
s__Ruminococcaceae_bacterium_Marseille_P2935,2,0.8723482051822944,0.2070175438596491,0.0,0.0,0.6653306613226453,1,0,0,1
s__GGB44238_SGB61642,2,0.8718489610800548,0.21052631578947367,0.0,0.0,0.6613226452905812,1,0,0,1
s__GGB9117_SGB14050,2,0.8713497169778153,0.21403508771929824,0.0,0.0,0.657314629258517,1,0,0,1
