feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
f__Staphylococcaceae,0.14947871219369385,3345.0,0.16084691114765387,-0.16084691114765387,0.0,-3.749377797267584,-3.5656483956846965,down,0.25694178636537646
f__Fusobacteriaceae,0.13229466572462548,3323.0,0.22977542795289407,-0.22977542795289407,0.0,-0.643359387161198,0.03899122388906453,down,0.24716685141619885
f__Candidatus_Nanogingivalaceae,0.07085166548535729,3219.0,0.272205902176208,-0.272205902176208,0.0,-3.106551585413041,-2.353667137864521,down,0.22618057459011634
f__Bacillales_unclassified,0.08189579889575963,3242.0,0.20564834144575997,-0.20564834144575997,0.0,-1.416134888488118,-0.9441323949195821,down,0.22618057459011634
f__FGB4806,0.5969818862771042,3660.0,0.022566341813388294,0.022566341813388294,0.263397384094367,0.5989329310260378,0.49898521669835494,up,0.663777062364053
f__Micrococcaceae,0.10073836664182417,3276.0,0.1703038590941076,-0.1703038590941076,0.0,-1.1041528731745331,-0.5753164919563698,down,0.22719716731985876
f__FGB4605,0.5248132937462282,4063.0,0.18793258863746576,0.18793258863746576,0.0,-2.2955491553488017,-2.6361729496158097,up,0.6024932397519875
f__FGB3072,0.4400471773957273,4110.0,0.22421325568338005,0.22421325568338005,0.0,-2.011858830105589,-2.5421622328544182,up,0.5402895846017037
f__FGB2984,0.37609958388384723,3537.0,0.09877811881666573,0.09877811881666573,0.0,-2.2711063477393716,-2.4513858523644836,up,0.4861775108742415
f__FGB1201,0.38554634335320803,3543.0,0.10730034624818204,0.10730034624818204,0.0760208438299417,1.1860369564089122,1.1251584014938634,up,0.4904149487452806
f__FGB45503,0.2728145171920605,3464.0,0.011026932405271559,0.011026932405271559,0.009831485633150549,0.9542472967569497,0.9477665268491894,up,0.38557785096477887
f__FGB72924,0.831368388817229,3917.0,0.20311553675763552,0.20311553675763552,0.0,-1.4757391349712845,-1.8118861909119928,up,0.8748976786842566
f__FGB52309,0.17101669071857561,3370.0,0.057653641446422474,-0.057653641446422474,0.0,-0.13769885533978166,-0.11461495964327745,down,0.2774658553495258
f__FGB16911,0.541949052062811,3632.0,0.0903723587381098,0.0903723587381098,0.0,-1.772156337964571,-1.8310824727562898,up,0.6154992805570496
f__FGB2997,0.11268555040941082,3295.0,0.06848492192004381,0.06848492192004381,0.0,-1.1008177095624396,-1.1721892191869674,up,0.23348514935241063
f__FGB2930,0.5711152665155557,3647.0,0.16556339867647132,0.16556339867647132,0.0,-1.9892780310559675,-2.163874775963965,up,0.6440235984111585
f__FGB3625,0.08927599568263095,3256.0,0.09964033432371638,-0.09964033432371638,0.0,-2.0073146999330556,-1.91774887592472,down,0.22618057459011634
f__FGB629,0.1173588305101672,3302.0,0.12320682258326095,-0.12320682258326095,-0.043326272575364415,3.3425832509999807,3.444488509576168,down,0.2347176610203344
f__Muribaculaceae,0.07693344445518047,3232.0,0.1743010489792813,-0.1743010489792813,0.0,-1.6339249000979854,-1.2874977141400437,down,0.22618057459011634
f__Bacteroidales_unclassified,0.03262142480563661,3105.0,0.3757684668885146,-0.3757684668885146,0.0,-1.2925747871828464,-1.0678326498195616,down,0.22618057459011634
f__FGB1474,0.022859219969876266,3057.0,0.21843825672172987,-0.21843825672172987,0.0,-1.8476357815668254,-1.54944430309914,down,0.22618057459011634
f__FGB1425,0.06559315618514616,3207.0,0.32751283894083666,-0.32751283894083666,0.0,-0.5783348307830288,-0.3056571572084131,down,0.22618057459011634
f__FGB544,0.03954344679156015,3132.0,0.31687749516629377,-0.31687749516629377,-0.034532238542467224,3.9457280316027648,4.041312059519918,down,0.22618057459011634
f__FGB9583,0.00450089246304745,2862.0,0.5349456000992088,-0.5349456000992088,-0.8511044426111286,0.3880462292083828,0.6999893528601996,down,0.22618057459011634
f__FGB28369,0.03954344679156015,3132.0,0.31687749516089103,-0.31687749516089103,-0.0369143728431991,3.688046248170391,3.7836302760857463,down,0.22618057459011634
f__FGB1473,0.011958969415632688,2975.0,0.3778464134443426,-0.3778464134443426,-0.39694917668170154,0.5252995410121742,0.6916726930753908,down,0.22618057459011634
f__FGB668,0.13304103191180877,3324.0,0.032625550533268724,0.032625550533268724,0.019449300323575378,2.045007524388294,2.017623313470022,up,0.24716685141619885
f__Candidatus_Borkfalkiaceae,0.04513017823509273,3151.0,0.19540152332825828,-0.19540152332825828,0.0,-2.1221513377411565,-2.0083284201671736,down,0.22618057459011634
f__FGB3009,0.2922743125583731,3479.0,0.03295223940030224,0.03295223940030224,0.0,-3.758834773177043,-3.7904369423540327,up,0.40410100605896804
f__FGB1374,0.11533769722762999,3299.0,0.1260685868291416,-0.1260685868291416,0.0,-2.186403481122468,-2.0695850571454515,down,0.23348514935241063
